Sample_ID,FileID_R1,FileID_R2
SRR17380113,SRR17380113.sra_1.fastq.gz,SRR17380113.sra_2.fastq.gz
SRR17380114,SRR17380114.sra_1.fastq.gz,SRR17380114.sra_2.fastq.gz
SRR17380115,SRR17380115.sra_1.fastq.gz,SRR17380115.sra_2.fastq.gz
SRR17380116,SRR17380116.sra_1.fastq.gz,SRR17380116.sra_2.fastq.gz
SRR17380117,SRR17380117.sra_1.fastq.gz,SRR17380117.sra_2.fastq.gz
SRR17380118,SRR17380118.sra_1.fastq.gz,SRR17380118.sra_2.fastq.gz
SRR17380119,SRR17380119.sra_1.fastq.gz,SRR17380119.sra_2.fastq.gz
SRR17380120,SRR17380120.sra_1.fastq.gz,SRR17380120.sra_2.fastq.gz
SRR17380121,SRR17380121.sra_1.fastq.gz,SRR17380121.sra_2.fastq.gz
SRR17380122,SRR17380122.sra_1.fastq.gz,SRR17380122.sra_2.fastq.gz
SRR17380124,SRR17380124.sra_1.fastq.gz,SRR17380124.sra_2.fastq.gz
SRR17380125,SRR17380125.sra_1.fastq.gz,SRR17380125.sra_2.fastq.gz
SRR17380126,SRR17380126.sra_1.fastq.gz,SRR17380126.sra_2.fastq.gz
SRR17380127,SRR17380127.sra_1.fastq.gz,SRR17380127.sra_2.fastq.gz
SRR17380128,SRR17380128.sra_1.fastq.gz,SRR17380128.sra_2.fastq.gz
SRR17380129,SRR17380129.sra_1.fastq.gz,SRR17380129.sra_2.fastq.gz
SRR17380207,SRR17380207.sra_1.fastq.gz,SRR17380207.sra_2.fastq.gz
SRR17380208,SRR17380208.sra_1.fastq.gz,SRR17380208.sra_2.fastq.gz
SRR17380209,SRR17380209.sra_1.fastq.gz,SRR17380209.sra_2.fastq.gz
SRR17380210,SRR17380210.sra_1.fastq.gz,SRR17380210.sra_2.fastq.gz
SRR17380211,SRR17380211.sra_1.fastq.gz,SRR17380211.sra_2.fastq.gz
SRR17380212,SRR17380212.sra_1.fastq.gz,SRR17380212.sra_2.fastq.gz
SRR17380213,SRR17380213.sra_1.fastq.gz,SRR17380213.sra_2.fastq.gz
SRR17380214,SRR17380214.sra_1.fastq.gz,SRR17380214.sra_2.fastq.gz
SRR17380215,SRR17380215.sra_1.fastq.gz,SRR17380215.sra_2.fastq.gz
SRR17380216,SRR17380216.sra_1.fastq.gz,SRR17380216.sra_2.fastq.gz
SRR17380218,SRR17380218.sra_1.fastq.gz,SRR17380218.sra_2.fastq.gz
SRR17380219,SRR17380219.sra_1.fastq.gz,SRR17380219.sra_2.fastq.gz
SRR17380220,SRR17380220.sra_1.fastq.gz,SRR17380220.sra_2.fastq.gz
SRR17380221,SRR17380221.sra_1.fastq.gz,SRR17380221.sra_2.fastq.gz
SRR17380222,SRR17380222.sra_1.fastq.gz,SRR17380222.sra_2.fastq.gz
SRR17380223,SRR17380223.sra_1.fastq.gz,SRR17380223.sra_2.fastq.gz
SRR17380224,SRR17380224.sra_1.fastq.gz,SRR17380224.sra_2.fastq.gz
SRR17380225,SRR17380225.sra_1.fastq.gz,SRR17380225.sra_2.fastq.gz
SRR17380226,SRR17380226.sra_1.fastq.gz,SRR17380226.sra_2.fastq.gz
SRR17380227,SRR17380227.sra_1.fastq.gz,SRR17380227.sra_2.fastq.gz
SRR17380229,SRR17380229.sra_1.fastq.gz,SRR17380229.sra_2.fastq.gz
SRR17380230,SRR17380230.sra_1.fastq.gz,SRR17380230.sra_2.fastq.gz
SRR17380231,SRR17380231.sra_1.fastq.gz,SRR17380231.sra_2.fastq.gz
SRR17380232,SRR17380232.sra_1.fastq.gz,SRR17380232.sra_2.fastq.gz
SRR17380233,SRR17380233.sra_1.fastq.gz,SRR17380233.sra_2.fastq.gz
SRR17380234,SRR17380234.sra_1.fastq.gz,SRR17380234.sra_2.fastq.gz
SRR17380235,SRR17380235.sra_1.fastq.gz,SRR17380235.sra_2.fastq.gz
SRR17380236,SRR17380236.sra_1.fastq.gz,SRR17380236.sra_2.fastq.gz
SRR17380237,SRR17380237.sra_1.fastq.gz,SRR17380237.sra_2.fastq.gz
SRR17380238,SRR17380238.sra_1.fastq.gz,SRR17380238.sra_2.fastq.gz
SRR17380240,SRR17380240.sra_1.fastq.gz,SRR17380240.sra_2.fastq.gz
SRR17380241,SRR17380241.sra_1.fastq.gz,SRR17380241.sra_2.fastq.gz
SRR17380242,SRR17380242.sra_1.fastq.gz,SRR17380242.sra_2.fastq.gz
SRR17380243,SRR17380243.sra_1.fastq.gz,SRR17380243.sra_2.fastq.gz
SRR17380244,SRR17380244.sra_1.fastq.gz,SRR17380244.sra_2.fastq.gz
SRR17380245,SRR17380245.sra_1.fastq.gz,SRR17380245.sra_2.fastq.gz
SRR17380246,SRR17380246.sra_1.fastq.gz,SRR17380246.sra_2.fastq.gz
SRR17380247,SRR17380247.sra_1.fastq.gz,SRR17380247.sra_2.fastq.gz
SRR17380248,SRR17380248.sra_1.fastq.gz,SRR17380248.sra_2.fastq.gz
SRR17380249,SRR17380249.sra_1.fastq.gz,SRR17380249.sra_2.fastq.gz
